CustomerID,Cluster
C0001,2
C0002,3
C0003,1
C0004,0
C0005,1
C0006,1
C0007,1
C0008,0
C0009,4
C0010,1
C0011,3
C0012,0
C0013,2
C0014,4
C0015,1
C0016,2
C0017,0
C0018,2
C0019,2
C0020,4
C0021,2
C0022,2
C0023,2
C0024,2
C0025,1
C0026,1
C0027,1
C0028,0
C0029,3
C0030,3
C0031,1
C0032,4
C0033,4
C0034,2
C0035,1
C0036,1
C0037,2
C0038,3
C0039,2
C0040,1
C0041,0
C0042,1
C0043,1
C0044,1
C0045,2
C0046,2
C0047,2
C0048,3
C0049,2
C0050,1
C0051,0
C0052,1
C0053,2
C0054,2
C0055,2
C0056,3
C0057,3
C0058,4
C0059,2
C0060,4
C0061,3
C0062,1
C0063,1
C0064,3
C0065,0
C0066,1
C0067,2
C0068,0
C0069,3
C0070,1
C0071,1
C0072,2
C0073,1
C0074,1
C0075,0
C0076,3
C0077,4
C0078,4
C0079,1
C0080,4
C0081,2
C0082,0
C0083,4
C0084,0
C0085,1
C0086,3
C0087,2
C0088,3
C0089,1
C0090,2
C0091,2
C0092,3
C0093,2
C0094,1
C0095,1
C0096,3
C0097,4
C0098,0
C0099,0
C0100,2
C0101,0
C0102,2
C0103,1
C0104,2
C0105,2
C0106,3
C0107,2
C0108,2
C0109,0
C0110,4
C0111,3
C0112,1
C0113,0
C0114,2
C0115,3
C0116,2
C0117,1
C0118,3
C0119,3
C0120,1
C0121,1
C0122,0
C0123,1
C0124,2
C0125,1
C0126,2
C0127,2
C0128,4
C0129,1
C0130,4
C0131,3
C0132,3
C0133,3
C0134,3
C0135,1
C0136,2
C0137,3
C0138,3
C0139,2
C0140,1
C0141,0
C0142,3
C0143,0
C0144,1
C0145,0
C0146,3
C0147,0
C0148,2
C0149,2
C0150,4
C0151,4
C0152,2
C0153,2
C0154,2
C0155,2
C0156,0
C0157,3
C0158,1
C0159,3
C0160,2
C0161,2
C0162,2
C0163,2
C0164,2
C0165,0
C0166,1
C0167,1
C0168,2
C0169,2
C0170,2
C0171,2
C0172,2
C0173,2
C0174,3
C0175,0
C0176,1
C0177,1
C0178,3
C0179,2
C0181,3
C0182,2
C0183,2
C0184,2
C0185,1
C0186,1
C0187,2
C0188,0
C0189,3
C0190,3
C0191,3
C0192,1
C0193,1
C0194,2
C0195,2
C0196,3
C0197,3
C0198,4
C0199,1
C0200,3
